,id,name,picture_url
0,1017100.0,A-Bomb (HAS),http://i.annihil.us/u/prod/marvel/i/mg/3/20/5232158de5b16.jpg
1,1009144.0,A.I.M.,http://i.annihil.us/u/prod/marvel/i/mg/6/20/52602f21f29ec.jpg
2,1010699.0,Aaron Stack,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
3,1009146.0,Abomination (Emil Blonsky),http://i.annihil.us/u/prod/marvel/i/mg/9/50/4ce18691cbf04.jpg
4,1016823.0,Abomination (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
5,1009148.0,Absorbing Man,http://i.annihil.us/u/prod/marvel/i/mg/1/b0/5269678709fb7.jpg
6,1009149.0,Abyss,http://i.annihil.us/u/prod/marvel/i/mg/9/30/535feab462a64.jpg
7,1010903.0,Abyss (Age of Apocalypse),http://i.annihil.us/u/prod/marvel/i/mg/3/80/4c00358ec7548.jpg
8,1011266.0,Adam Destine,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
9,1010354.0,Adam Warlock,http://i.annihil.us/u/prod/marvel/i/mg/a/f0/5202887448860.jpg
10,1010846.0,Aegis (Trey Rollins),http://i.annihil.us/u/prod/marvel/i/mg/5/e0/4c0035c9c425d.gif
11,1017851.0,Aero (Aero),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
12,1012717.0,Agatha Harkness,http://i.annihil.us/u/prod/marvel/i/mg/c/a0/4ce5a9bf70e19.jpg
13,1011297.0,Agent Brand,http://i.annihil.us/u/prod/marvel/i/mg/4/60/52695285d6e7e.jpg
14,1011031.0,Agent X (Nijo),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
15,1009150.0,Agent Zero,http://i.annihil.us/u/prod/marvel/i/mg/f/60/4c0042121d790.jpg
16,1011198.0,Agents of Atlas,http://i.annihil.us/u/prod/marvel/i/mg/9/a0/4ce18a834b7f5.jpg
17,1011175.0,Aginar,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
18,1011136.0,Air-Walker (Gabriel Lan),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
19,1011176.0,Ajak,http://i.annihil.us/u/prod/marvel/i/mg/2/80/4c002f35c5215.jpg
20,1010870.0,Ajaxis,http://i.annihil.us/u/prod/marvel/i/mg/b/70/4c0035adc7d3a.jpg
21,1011194.0,Akemi,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
22,1011170.0,Alain,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
23,1009240.0,Albert Cleary,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
24,1011120.0,Albion,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
25,1010836.0,Alex Power,http://i.annihil.us/u/prod/marvel/i/mg/9/50/4ce5a385a2e82.jpg
26,1010755.0,Alex Wilder,http://i.annihil.us/u/prod/marvel/i/mg/2/c0/4c00377144d5a.jpg
27,1011214.0,Alexa Mendez,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
28,1009497.0,Alexander Pierce,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
29,1014990.0,Alice,http://i.annihil.us/u/prod/marvel/i/mg/6/70/4cd061e6d6573.jpg
30,1009435.0,Alicia Masters,http://i.annihil.us/u/prod/marvel/i/mg/b/40/4c003d40ac7ae.jpg
31,1010370.0,Alpha Flight,http://i.annihil.us/u/prod/marvel/i/mg/1/60/52695277ee088.jpg
32,1011324.0,Alpha Flight (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
33,1011164.0,Alvin Maker,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
34,1011227.0,Amadeus Cho,http://i.annihil.us/u/prod/marvel/i/mg/3/80/520288b9cb581.jpg
35,1009567.0,Amanda Sefton,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
36,1011382.0,Amazoness,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
37,1011361.0,American Eagle (Jason Strongbow),http://i.annihil.us/u/prod/marvel/i/mg/f/80/4ce5a6d8b8f2a.jpg
38,1009151.0,Amiko,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
39,1010672.0,Amora,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
40,1010673.0,Amphibian (Earth-712),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
41,1010905.0,Amun,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
42,1009152.0,Ancient One,http://i.annihil.us/u/prod/marvel/i/mg/b/b0/4ce59ea2103ac.jpg
43,1016824.0,Ancient One (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
44,1011684.0,Angel (Angel Salvadore),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
45,1011396.0,Angel (Thomas Halloway),http://i.annihil.us/u/prod/marvel/i/mg/d/03/531769834b15f.jpg
46,1011338.0,Angel (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/4/50/531769ae4399f.jpg
47,1009153.0,Angel (Warren Worthington III),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
48,1017574.0,Angela (Aldrif Odinsdottir),http://i.annihil.us/u/prod/marvel/i/mg/7/00/545a82f59dd73.jpg
49,1010674.0,Anita Blake,http://i.annihil.us/u/prod/marvel/i/mg/2/a0/4c0038fa14452.jpg
50,1009346.0,Anne Marie Hoag,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
51,1009154.0,Annihilus,http://i.annihil.us/u/prod/marvel/i/mg/5/f0/528d31f20a2f6.jpg
52,1011301.0,Anole,http://i.annihil.us/u/prod/marvel/i/mg/9/20/4c002e635ddd9.jpg
53,1010802.0,Ant-Man (Eric O'Grady),http://i.annihil.us/u/prod/marvel/i/mg/9/c0/53176aa9df48d.jpg
54,1009155.0,Ant-Man (Hank Pym),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
55,1010801.0,Ant-Man (Scott Lang),http://i.annihil.us/u/prod/marvel/i/mg/e/20/52696868356a0.jpg
56,1011208.0,Anthem,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
57,1009156.0,Apocalypse,http://i.annihil.us/u/prod/marvel/i/mg/f/e0/526166076a1d0.jpg
58,1011253.0,Apocalypse (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
59,1010866.0,Aqueduct,http://i.annihil.us/u/prod/marvel/i/mg/5/50/4c0035b3630cd.jpg
60,1010773.0,Arachne,http://i.annihil.us/u/prod/marvel/i/mg/b/70/5269526591794.jpg
61,1017438.0,Araña,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
62,1009158.0,Arcade,http://i.annihil.us/u/prod/marvel/i/mg/2/a0/4c0042091ab69.jpg
63,1010686.0,Arcana,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
64,1009159.0,Archangel,http://i.annihil.us/u/prod/marvel/i/mg/8/03/526165ed93180.jpg
65,1009160.0,Arclight,http://i.annihil.us/u/prod/marvel/i/mg/5/f0/4c0042067fd8b.jpg
66,1010784.0,Ares,http://i.annihil.us/u/prod/marvel/i/mg/c/10/535ff3daea603.jpg
67,1011275.0,Argent,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
68,1011012.0,Armadillo,http://i.annihil.us/u/prod/marvel/i/mg/2/40/4c0032754da02.jpg
69,1011298.0,Armor (Hisako Ichiki),http://i.annihil.us/u/prod/marvel/i/mg/9/20/4c002e6cbf990.jpg
70,1010827.0,Armory,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
71,1009740.0,Arnim Zola,http://i.annihil.us/u/prod/marvel/i/mg/8/b0/4c00393a4cb7c.jpg
72,1010748.0,Arsenic,http://i.annihil.us/u/prod/marvel/i/mg/8/c0/4c00359a2be7b.jpg
73,1009161.0,Artiee,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
74,1010718.0,Asgardian,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
75,1009162.0,Askew-Tronics,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
76,1010835.0,Asylum,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
77,1010336.0,Atlas (Team),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
78,1011758.0,Attuma,http://i.annihil.us/u/prod/marvel/i/mg/9/90/4ce5a862a6c48.jpg
79,1009163.0,Aurora,http://i.annihil.us/u/prod/marvel/i/mg/f/10/4c004203f1072.jpg
80,1009164.0,Avalanche,http://i.annihil.us/u/prod/marvel/i/mg/f/10/4c0042010d383.jpg
81,1009165.0,Avengers,http://i.annihil.us/u/prod/marvel/i/mg/9/20/5102c774ebae7.jpg
82,1015239.0,Avengers (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
83,1011766.0,Azazel (Mutant),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
